timestamp,mmsi,vessel_name,flag,vessel_type,ship_type_code,lat,lon,speed_knots,course,heading,nav_status,destination
2026-04-02T03:15:55.368053,237810700,LET IT BE,GRC,Unknown,0,37.911,23.70406,0.0,36.0,511,0,
2026-04-02T03:15:55.457810,413527660,,CHN,Unknown,0,37.91652,23.54728,0.0,4.4,229,1,
2026-04-02T03:15:55.683446,518998026,,UNK,Unknown,0,37.9621,23.57242,0.0,26.0,8,5,
2026-04-02T03:15:55.767003,241634000,KAPETAN MICHALIS,GRC,Unknown,0,37.96043,23.57765,0.0,17.7,511,0,
2026-04-02T03:15:56.195002,319054400,I NOVA,UNK,Unknown,0,37.93186,23.65029,0.0,7.8,328,5,
2026-04-02T03:15:56.422152,241780000,,GRC,Unknown,0,37.93109,23.64857,0.0,19.7,15,8,
2026-04-02T03:15:56.792772,232014927,YOUNAN,UNK,Unknown,0,37.93106,23.68341,0.0,36.0,511,15,
2026-04-02T03:15:56.911002,239546200,,GRC,Unknown,0,37.96518,23.52984,10.2,36.0,511,0,
2026-04-02T03:15:57.649150,239918000,,GRC,Unknown,0,37.94081,23.62525,0.0,22.1,152,5,
2026-04-02T03:15:57.818383,240362500,,GRC,Unknown,0,37.94641,23.54359,0.0,36.0,511,5,
2026-04-02T03:15:57.879363,636026166,MSC CLARITA III,LBR,Unknown,0,37.95703,23.59945,0.0,2.0,214,5,
2026-04-02T03:15:58.518896,319775000,,UNK,Unknown,0,37.92968,23.68174,0.0,18.1,31,5,
2026-04-02T03:15:59.603454,240045800,,GRC,Unknown,0,37.91398,23.70373,0.0,36.0,231,0,
2026-04-02T03:16:00.159613,209262000,ASTERION II,CYP,Unknown,0,37.94575,23.63671,0.0,0.0,179,5,
2026-04-02T03:16:00.340011,240004600,SOLE DI MARE,GRC,Unknown,0,37.93257,23.64747,0.0,0.0,511,5,
2026-04-02T03:16:01.950405,232193000,M/Y VARMAR-VE,UNK,Unknown,0,37.9309,23.68276,0.0,19.9,212,15,
2026-04-02T03:16:02.339647,209939000,A NEPITA,CYP,Unknown,0,37.95881,23.56332,0.0,16.8,184,5,
2026-04-02T03:16:03.323804,256586000,,UNK,Unknown,0,37.96062,23.57672,0.0,0.0,511,5,
2026-04-02T03:16:04.736406,355639000,,UNK,Unknown,0,37.92971,23.68203,0.0,19.7,511,0,
2026-04-02T03:16:05.069230,241927000,SVS I,GRC,Unknown,0,37.93864,23.6344,0.0,22.7,126,0,
2026-04-02T03:16:05.137234,511101893,,UNK,Unknown,0,37.96064,23.5733,0.0,26.7,184,5,
2026-04-02T03:16:05.208376,241858000,,GRC,Unknown,0,37.93211,23.67993,0.0,24.3,64,1,
2026-04-02T03:16:05.270160,241585000,CH.GEMITZOGLOU,GRC,Unknown,0,37.93926,23.63293,0.0,0.0,511,0,
2026-04-02T03:16:05.985273,237032400,,GRC,Unknown,0,37.96065,23.56405,0.0,5.5,511,0,
2026-04-02T03:16:06.359205,240806000,VERA,GRC,Unknown,0,37.95396,23.55019,0.0,36.0,511,5,
2026-04-02T03:16:06.844239,240917000,,GRC,Unknown,0,37.93962,23.63042,0.0,10.3,92,13,
2026-04-02T03:16:07.585857,240777000,MABROUK,GRC,Unknown,0,37.93028,23.68453,0.0,36.0,210,5,
2026-04-02T03:16:07.859866,256301000,4LIFE,UNK,Unknown,0,37.93266,23.68483,0.0,36.0,511,5,
2026-04-02T03:16:08.490978,240042300,,GRC,Unknown,0,37.96167,23.55313,0.5,5.0,511,0,
2026-04-02T03:16:09.612460,209074000,,CYP,Unknown,0,37.94125,23.64032,0.0,7.8,511,5,
2026-04-02T03:16:10.175292,240678700,PERSEUS,GRC,Unknown,0,37.93219,23.64706,0.0,36.0,511,0,
2026-04-02T03:16:10.247623,240151600,CHRISTOS XLV,GRC,Unknown,0,37.95659,23.60495,0.0,36.0,231,0,
2026-04-02T03:16:10.653905,319126000,SOJO,UNK,Unknown,0,37.92919,23.68277,0.0,29.7,29,5,
2026-04-02T03:16:10.914334,237006600,,GRC,Unknown,0,37.94998,23.54622,0.0,36.0,511,0,
2026-04-02T03:16:11.621281,256718000,SEAHORSE,UNK,Unknown,0,37.93037,23.68378,0.0,12.4,211,5,
2026-04-02T03:16:11.696903,229043000,MAZY,UNK,Unknown,0,37.93194,23.68237,0.0,34.2,250,5,
2026-04-02T03:16:12.031369,241814000,BOJI,GRC,Unknown,0,37.92883,23.68373,0.0,28.5,25,5,
2026-04-02T03:16:12.213349,249506000,THIS IS MINE,MLT,Unknown,0,37.93813,23.6481,0.0,36.0,511,0,
2026-04-02T03:16:12.359169,240600000,,GRC,Unknown,0,37.93837,23.66703,0.0,36.0,511,8,
2026-04-02T03:16:12.457523,341345002,,UNK,Unknown,0,37.94925,23.60032,0.0,0.3,2,5,
2026-04-02T03:16:12.617531,230052180,INSPIRATION,UNK,Unknown,0,37.9289,23.68327,0.0,0.0,511,15,
2026-04-02T03:16:12.706874,563188500,MAERSK WAKAYAMA,SGP,Unknown,0,37.95506,23.59504,0.0,21.5,346,5,
2026-04-02T03:16:13.145332,319137400,,UNK,Unknown,0,37.93204,23.68209,0.0,28.1,246,0,
2026-04-02T03:16:13.690208,241872000,,GRC,Unknown,0,37.93461,23.62301,0.0,30.7,286,8,
2026-04-02T03:16:14.668453,241972000,,GRC,Unknown,0,37.93946,23.6318,0.0,19.1,102,0,
2026-04-02T03:16:15.103203,636019289,,LBR,Unknown,0,37.81913,23.61166,1.1,15.4,159,0,
2026-04-02T03:16:15.170818,319122100,ALMAHA,UNK,Unknown,0,37.93164,23.68014,0.0,28.6,63,5,
2026-04-02T03:16:15.606467,244012819,,UNK,Unknown,0,37.91372,23.70522,0.0,36.0,511,0,
2026-04-02T03:16:15.845633,239386000,KEFALONIA,GRC,Unknown,0,37.9612,23.5586,0.0,15.2,511,5,
2026-04-02T03:16:16.250490,240932000,,GRC,Unknown,0,37.95503,23.55003,0.0,10.1,9,5,
2026-04-02T03:16:16.569047,240293500,,GRC,Unknown,0,37.96106,23.55554,0.0,27.7,201,7,
2026-04-02T03:16:16.943392,237044600,,GRC,Unknown,0,37.9426,23.63988,0.0,35.8,272,5,
2026-04-02T03:16:17.007287,241696000,,GRC,Unknown,0,37.93383,23.64906,0.0,36.0,157,0,
2026-04-02T03:16:17.540719,241926000,,GRC,Unknown,0,37.95724,23.61098,0.0,0.8,295,0,
2026-04-02T03:16:17.751463,248640000,,MLT,Unknown,0,37.96023,23.5727,0.0,35.0,180,5,
2026-04-02T03:16:18.572884,241527000,,GRC,Unknown,0,37.9389,23.63397,0.0,23.7,511,0,
2026-04-02T03:16:18.841527,210967000,CHAMPIONSLEAGUE JET1,CYP,Unknown,0,37.94504,23.63987,0.0,32.8,214,5,
2026-04-02T03:16:19.212732,314099000,,UNK,Unknown,0,37.95486,23.60357,0.0,19.9,115,5,
2026-04-02T03:16:19.438737,241899000,ARTEMISEA,GRC,Unknown,0,37.93032,23.68394,0.0,36.0,208,5,
2026-04-02T03:16:19.495764,237002600,APOLLON HELLAS,GRC,Unknown,0,37.93276,23.61178,1.4,20.6,511,0,
2026-04-02T03:16:19.952990,240042300,,GRC,Unknown,0,37.9618,23.55333,0.4,5.0,511,0,
2026-04-02T03:16:20.552983,215353000,,UNK,Unknown,0,37.93921,23.66934,0.0,20.8,297,5,
2026-04-02T03:16:21.093475,240699400,,GRC,Unknown,0,37.96332,23.52602,0.0,0.0,511,0,
2026-04-02T03:16:21.169316,249091000,KOGO,MLT,Unknown,0,37.93071,23.68116,0.0,34.0,64,5,
2026-04-02T03:16:21.292009,249226000,,MLT,Unknown,0,37.93824,23.66686,0.0,17.5,28,5,
2026-04-02T03:16:21.673925,239981000,AQUA JEWEL,GRC,Unknown,0,37.94801,23.63811,0.0,11.3,511,5,
2026-04-02T03:16:21.856732,248112000,CAPRI,MLT,Unknown,0,37.93881,23.66874,0.0,0.0,294,8,
2026-04-02T03:16:23.369294,241966000,,GRC,Unknown,0,37.93841,23.63486,0.0,18.7,123,0,
2026-04-02T03:16:24.058344,240413600,,GRC,Unknown,0,37.93821,23.64847,0.0,36.0,511,5,
2026-04-02T03:16:24.336775,319257400,JUNELUCK,UNK,Unknown,0,37.92921,23.68291,0.0,30.8,28,5,
2026-04-02T03:16:24.614988,237040100,ELENI,GRC,Unknown,0,37.94441,23.64242,0.0,16.4,511,0,
2026-04-02T03:16:24.700896,241588000,,GRC,Unknown,0,37.9535,23.55234,0.0,36.0,511,0,
2026-04-02T03:16:24.912392,241524000,O'NATALINA,GRC,Unknown,0,37.93165,23.64996,0.0,0.0,327,5,
2026-04-02T03:16:25.152786,538007976,AETERNO,MHL,Unknown,0,37.95401,23.55185,0.0,14.7,95,5,
2026-04-02T03:16:26.608780,241804000,,GRC,Unknown,0,37.9429,23.6418,0.0,19.3,108,5,
2026-04-02T03:16:26.610262,241506000,,GRC,Unknown,0,37.95739,23.61037,0.0,16.3,511,0,
2026-04-02T03:16:26.925405,241807000,,GRC,Unknown,0,37.9627,23.56669,0.0,36.0,511,5,
